Date,Close/Last,Volume,Open,High,Low
5/23/2023,414.09,86383490,417.08,418.722,413.68
5/22/2023,418.79,60745400,418.64,420.39,417.35
5/19/2023,418.62,103793300,420.17,420.72,417.35
5/18/2023,419.23,97177200,414.9,419.67,414.67
5/17/2023,415.23,87286960,412.35,415.855,410.635
5/16/2023,410.25,57705500,411.86,412.815,410.24
5/15/2023,413.01,54289380,412.22,413.43,410.23
5/12/2023,411.59,70481550,413.42,413.64,409.07
5/11/2023,412.13,70157060,411.95,412.43,409.97
5/10/2023,412.85,96142920,413.88,414.535,408.87
5/9/2023,410.93,49220120,411.13,412.09,410.6894
5/8/2023,412.74,50046770,412.97,413.24,411.28
5/5/2023,412.63,87891790,408.91,413.72,408.64
5/4/2023,405.13,94901860,406.93,407.27,403.74
5/3/2023,408.02,91531770,411.36,413.87,407.77
5/2/2023,410.84,103998500,414.77,414.82,407.82
5/1/2023,415.51,62122250,415.47,417.62,415.265
4/28/2023,415.93,89433140,411.49,415.94,411.43
4/27/2023,412.41,92968370,407,412.69,406.74
4/26/2023,404.36,80447050,406.72,407.84,403.78
4/25/2023,406.08,97766720,410.58,411.16,406.02
4/24/2023,412.63,64332100,411.99,413.07,410.6
4/21/2023,412.2,73457420,412.19,412.68,410.17
4/20/2023,411.88,75840360,411.21,413.7,410.27
4/19/2023,414.14,55227330,412.22,415.08,412.16
4/18/2023,414.21,63560000,415.58,415.72,412.7802
4/17/2023,413.94,66436400,412.37,413.96,411.085
4/14/2023,412.46,78161500,412.81,415.09,410.06
4/13/2023,413.47,85814750,409.18,413.84,407.9922
4/12/2023,408.05,86420380,411.87,412.17,407.44
4/11/2023,409.72,59297950,410.26,411.18,408.92
4/10/2023,409.61,63681040,406.61,409.69,405.97
4/6/2023,409.19,63743350,406.77,409.48,405.678
4/5/2023,407.6,65200240,407.91,408.7,405.88
4/4/2023,408.67,66601530,411.62,411.92,407.24
4/3/2023,410.95,67391100,408.85,411.37,408.44
3/31/2023,409.39,112062600,404.66,409.7,404.55
3/30/2023,403.7,69840050,404.09,404.35,401.76
3/29/2023,401.35,77497880,399.925,401.6,398.68
3/28/2023,395.6,62871680,395.77,396.49,393.69
3/27/2023,396.49,74010410,398.12,398.92,395.56
3/24/2023,395.75,107770100,391.841,395.84,389.4
3/23/2023,393.17,119351300,395.09,399.29,390.35
3/22/2023,392.11,111746600,398.73,402.49,392.07
3/21/2023,398.91,91524250,397.24,399.41,395.58
3/20/2023,393.74,93055780,390.8,394.17,390.07
3/17/2023,389.99,140553400,393.22,394.4,388.55
3/16/2023,396.11,143753900,386.82,396.47,386.29
3/15/2023,389.28,172996900,385.89,389.49,383.71
3/14/2023,391.73,149752400,390.5,393.45,387.05
3/13/2023,385.36,157790000,381.81,390.39,380.65
3/10/2023,385.91,189253000,390.99,393.16,384.32
3/9/2023,391.56,111945300,399.74,401.48,390.53
3/8/2023,398.92,74746630,398.39,399.71,396.59
3/7/2023,398.27,108310600,404.42,404.67,397.625
3/6/2023,404.47,72795950,405.05,407.45,404.01
3/3/2023,404.19,90119950,399.71,404.45,399.03
3/2/2023,397.81,85404730,392.68,398.69,392.33
3/1/2023,394.74,99706820,395.41,396.69,393.38
2/28/2023,396.26,96438570,397.23,399.28,396.15
2/27/2023,397.73,80444740,399.87,401.29,396.75
2/24/2023,396.38,108194400,395.42,397.25,393.64
2/23/2023,400.66,96242400,401.56,402.2,396.25
2/22/2023,398.54,83742290,399.52,401.13,397.02
2/21/2023,399.09,82655920,403.06,404.16,398.82
2/17/2023,407.26,89257820,406.06,407.51,404.05
2/16/2023,408.28,76431470,408.79,412.91,408.14
2/15/2023,413.98,61685280,410.35,414.06,409.47
2/14/2023,412.64,88389310,411.24,415.05,408.511
